Year,Category,Nominee,Additional Info,Won?,,,,,,
1979 (52nd),Short Film (Animated),Dream Doll,"Bob Godfrey and Zlatko Grgic, Producers",NO,,,,,,
1979 (52nd),Short Film (Animated),Every Child,"Derek Lamb, Producer",YES,,,,,,
1979 (52nd),Short Film (Animated),It's So Nice to Have a Wolf around the House,"Paul Fierlinger, Producer",NO,,,,,,
1979 (52nd),Short Film (Live Action),Board and Care,"Sarah Pillsbury and Ron Ellis, Producers",YES,,,,,,
1979 (52nd),Short Film (Live Action),Bravery in the Field,"Roman Kroitor and Stefan Wodoslawsky, Producers",NO,,,,,,
1979 (52nd),Short Film (Live Action),"Oh Brother, My Brother","Carol Lowell and Ross Lowell, Producers",NO,,,,,,
1979 (52nd),Short Film (Live Action),The Solar Film,"Saul Bass and Michael Britton, Producers",NO,,,,,,
1979 (52nd),Short Film (Live Action),Solly's Diner,"Harry Mathias, Jay Zukerman and Larry Hankin, Producers",NO,,,,,,
1979 (52nd),Sound,Apocalypse Now,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer",YES,,,,,,
1979 (52nd),Sound,The Electric Horseman,"Arthur Piantadosi, Les Fresholtz, Michael Minkler, Al Overton",NO,,,,,,
1979 (52nd),Sound,Meteor,"William McCaughey, Aaron Rochin, Michael J. Kohut, Jack Solomon",NO,,,,,,
1979 (52nd),Sound,1941,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa",NO,,,,,,
1979 (52nd),Sound,The Rose,"Theodore Soderberg, Douglas Williams, Paul Wells, Jim Webb",NO,,,,,,
1979 (52nd),Sound Editing,The Black Stallion,Alan Splet,YES,,,,,,
1979 (52nd),Visual Effects,Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",YES,,,,,,
1979 (52nd),Visual Effects,The Black Hole,"Peter Ellenshaw, Art Cruickshank, Eustace Lycett, Danny Lee, Harrison Ellenshaw, Joe Hale",NO,,,,,,
1979 (52nd),Visual Effects,Moonraker,"Derek Meddings, Paul Wilson, John Evans",NO,,,,,,
1979 (52nd),Visual Effects,1941,"William A. Fraker, A. D. Flowers, Gregory Jein",NO,,,,,,
1979 (52nd),Visual Effects,Star Trek - The Motion Picture,"Douglas Trumbull, John Dykstra, Richard Yuricich, Robert Swarthe, Dave Stewart, Grant McCune",NO,,,,,,
1979 (52nd),Writing,Apocalypse Now,"John Milius, Francis Coppola",NO,,,,,,
1979 (52nd),Writing,Kramer vs. Kramer,Robert Benton,YES,,,,,,
1979 (52nd),Writing,La Cage aux Folles,"Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret",NO,,,,,,
1979 (52nd),Writing,A Little Romance,Allan Burns,NO,,,,,,
1979 (52nd),Writing,Norma Rae,"Irving Ravetch, Harriet Frank, Jr.",NO,,,,,,
1979 (52nd),Writing,All That Jazz,"Robert Alan Aurthur, Bob Fosse",NO,,,,,,
1979 (52nd),Writing,...And Justice for All,"Valerie Curtin, Barry Levinson",NO,,,,,,
1979 (52nd),Writing,Breaking Away,Steve Tesich,YES,,,,,,
1979 (52nd),Writing,The China Syndrome,"Mike Gray, T.S. Cook, James Bridges",NO,,,,,,
1979 (52nd),Writing,Manhattan,"Woody Allen, Marshall Brickman",NO,,,,,,
1979 (52nd),Special Achievement Award,The Black Stallion,Alan Splet,YES,,,,,,
1979 (52nd),Honorary Award,To Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,,YES,,,,,,
1979 (52nd),Honorary Award,To Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1979 (52nd),Jean Hersholt Humanitarian Award,Robert Benjamin,,YES,,,,,,
1979 (52nd),Irving G. Thalberg Memorial Award,Ray Stark,,YES,,,,,,
1979 (52nd),Scientific and Technical (Academy Award of Merit),"To MARK SERRURIER for the progressive development of the Moviola from the 1924 invention of his father, Iwan Serrurier, to the present Series 20 sophisticated film editing equipment. [Editorial]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Scientific and Engineering Award),"To NEIMAN-TILLAR ASSOCIATES for the creative development and to MINI-MICRO SYSTEMS, INCORPORATED, for the design and engineering of an Automated Computer-Controlled Editing Sound System (ACCESS) for motion picture post-production. [Sound]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),"To MICHAEL V. CHEWEY, WALTER G. EGGERS and ALLEN HECHT of M-G-M Laboratories for the development of a Computer-controlled Paper Tape Programmer System and its applications in the motion picture laboratory. [Laboratory]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),"To IRWIN YOUNG, PAUL KAUFMAN and FREDRIK SCHLYTER of Du Art Film Laboratories, Incorporated, for the development of a Computer-controlled Paper Tape Programmer System and its applications in the motion picture laboratory. [Laboratory]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),To JAMES S. STANFIELD and PAUL W. TRESTER for the development and manufacture of a device for the repair or protection of sprocket holes in motion picture film. [Projection],,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),"To ZORAN PERISIC of Courier Films, Limited, for the Zoptic Special Optical Effects Device for motion picture photography. [Special Photographic]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),To A. D. FLOWERS and LOGAN R. FRAZEE for the development of a device to control flight patterns of miniature airplanes during motion picture photography. [Stage Operations],,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),To PHOTO RESEARCH DIVISION OF KOLLMORGEN CORPORATION for the development of the Spectra Series II Cine Special Exposure Meter for motion picture photography. [Photography],,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),To BRUCE LYON and JOHN LAMB for the development of a Video Animation System for testing motion picture animation sequences. [Cartoon Process],,YES,,,,,,
1979 (52nd),Scientific and Technical (Technical Achievement Award),"To ROSS LOWELL of Lowel-Light Manufacturing, Incorporated, for the development of compact lighting equipment for motion picture photography. [Lighting]",,YES,,,,,,
1979 (52nd),Scientific and Technical (Bonner Medal),To John O. Aalberg in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1979 (52nd),Scientific and Technical (Bonner Medal),To Charles G. Clarke in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1979 (52nd),Scientific and Technical (Bonner Medal),To John G. Frayne in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1978 (51st),Actor -- Leading Role,Warren Beatty,"Heaven Can Wait {'Joe Pendleton (alias, Leo Farnsworth, Tom Jarrett)'}",NO,,,,,,
1978 (51st),Actor -- Leading Role,Gary Busey,The Buddy Holly Story {'Buddy Holly'},NO,,,,,,
1978 (51st),Actor -- Leading Role,Robert De Niro,The Deer Hunter {'Michael'},NO,,,,,,
1978 (51st),Actor -- Leading Role,Laurence Olivier,The Boys from Brazil {'Ezra Lieberman'},NO,,,,,,
1978 (51st),Actor -- Leading Role,Jon Voight,Coming Home {'Luke Martin'},YES,,,,,,
1978 (51st),Actor -- Supporting Role,Bruce Dern,Coming Home {'Captain Bob Hyde'},NO,,,,,,
1978 (51st),Actor -- Supporting Role,Richard Farnsworth,Comes a Horseman {'Dodger'},NO,,,,,,
1978 (51st),Actor -- Supporting Role,John Hurt,Midnight Express {'Max'},NO,,,,,,
1978 (51st),Actor -- Supporting Role,Christopher Walken,The Deer Hunter {'Nick'},YES,,,,,,
1978 (51st),Actor -- Supporting Role,Jack Warden,Heaven Can Wait {'Max Corkle'},NO,,,,,,
1978 (51st),Actress -- Leading Role,Ingrid Bergman,Autumn Sonata {'Charlotte Andergast'},NO,,,,,,
1978 (51st),Actress -- Leading Role,Ellen Burstyn,"Same Time, Next Year {'Doris'}",NO,,,,,,
1978 (51st),Actress -- Leading Role,Jill Clayburgh,An Unmarried Woman {'Erica'},NO,,,,,,
1978 (51st),Actress -- Leading Role,Jane Fonda,Coming Home {'Sally Hyde'},YES,,,,,,
1978 (51st),Actress -- Leading Role,Geraldine Page,Interiors {'Eve'},NO,,,,,,
1978 (51st),Actress -- Supporting Role,Dyan Cannon,Heaven Can Wait {'Julia Farnsworth'},NO,,,,,,
1978 (51st),Actress -- Supporting Role,Penelope Milford,Coming Home {'Viola Munson'},NO,,,,,,
1978 (51st),Actress -- Supporting Role,Maggie Smith,California Suite {'Diana Barrie'},YES,,,,,,
1978 (51st),Actress -- Supporting Role,Maureen Stapleton,Interiors {'Pearl'},NO,,,,,,
1978 (51st),Actress -- Supporting Role,Meryl Streep,The Deer Hunter {'Linda'},NO,,,,,,
1978 (51st),Art Direction,The Brink's Job,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson, Bruce Kay",NO,,,,,,
1978 (51st),Art Direction,California Suite,Art Direction: Albert Brenner; Set Decoration: Marvin March,NO,,,,,,
1978 (51st),Art Direction,Heaven Can Wait,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines",YES,,,,,,
1978 (51st),Art Direction,Interiors,Art Direction: Mel Bourne; Set Decoration: Daniel Robert,NO,,,,,,
1978 (51st),Art Direction,The Wiz,"Art Direction: Tony Walton, Philip Rosenberg; Set Decoration: Edward Stewart, Robert Drumheller",NO,,,,,,
1978 (51st),Cinematography,Days of Heaven,Nestor Almendros,YES,,,,,,
1978 (51st),Cinematography,The Deer Hunter,Vilmos Zsigmond,NO,,,,,,
1978 (51st),Cinematography,Heaven Can Wait,William A. Fraker,NO,,,,,,
1978 (51st),Cinematography,"Same Time, Next Year",Robert Surtees,NO,,,,,,
1978 (51st),Cinematography,The Wiz,Oswald Morris,NO,,,,,,
1978 (51st),Costume Design,Caravans,Renie Conley,NO,,,,,,
1978 (51st),Costume Design,Days of Heaven,Patricia Norris,NO,,,,,,
1978 (51st),Costume Design,Death on the Nile,Anthony Powell,YES,,,,,,
1978 (51st),Costume Design,The Swarm,Paul Zastupnevich,NO,,,,,,
1978 (51st),Costume Design,The Wiz,Tony Walton,NO,,,,,,
1978 (51st),Directing,Coming Home,Hal Ashby,NO,,,,,,
1978 (51st),Directing,The Deer Hunter,Michael Cimino,YES,,,,,,
1978 (51st),Directing,Heaven Can Wait,"Warren Beatty, Buck Henry",NO,,,,,,
1978 (51st),Directing,Interiors,Woody Allen,NO,,,,,,
1978 (51st),Directing,Midnight Express,Alan Parker,NO,,,,,,
1978 (51st),Documentary (Feature),The Lovers' Wind,"Albert Lamorisse, Producer",NO,,,,,,
1978 (51st),Documentary (Feature),Mysterious Castles of Clay,"Alan Root, Producer",NO,,,,,,
1978 (51st),Documentary (Feature),Raoni,"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers",NO,,,,,,
1978 (51st),Documentary (Feature),Scared Straight!,"Arnold Shapiro, Producer",YES,,,,,,
1978 (51st),Documentary (Feature),With Babies and Banners: Story of the Women's Emergency Brigade,"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers",NO,,,,,,
1978 (51st),Documentary (Short Subject),The Divided Trail: A Native American Odyssey,"Jerry Aronson, Producer",NO,,,,,,
1978 (51st),Documentary (Short Subject),An Encounter with Faces,"K.K. Kapil, Producer",NO,,,,,,
1978 (51st),Documentary (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers",YES,,,,,,
1978 (51st),Documentary (Short Subject),Goodnight Miss Ann,"August Cinquegrana, Producer",NO,,,,,,
1978 (51st),Documentary (Short Subject),Squires of San Quentin,"J. Gary Mitchell, Producer",NO,,,,,,
1978 (51st),Film Editing,The Boys from Brazil,Robert E. Swink,NO,,,,,,
1978 (51st),Film Editing,Coming Home,Don Zimmerman,NO,,,,,,
1978 (51st),Film Editing,The Deer Hunter,Peter Zinner,YES,,,,,,
1978 (51st),Film Editing,Midnight Express,Gerry Hambling,NO,,,,,,
1978 (51st),Film Editing,Superman,Stuart Baird,NO,,,,,,
1978 (51st),Foreign Language Film,Get Out Your Handkerchiefs,France,YES,,,,,,
1978 (51st),Foreign Language Film,The Glass Cell,German Federal Republic,NO,,,,,,
1978 (51st),Foreign Language Film,Hungarians,Hungary,NO,,,,,,
1978 (51st),Foreign Language Film,Viva Italia!,Italy,NO,,,,,,
1978 (51st),Foreign Language Film,White Bim Black Ear,Union of Soviet Socialist Republics,NO,,,,,,
1978 (51st),Music (Scoring),The Buddy Holly Story,Joe Renzetti,YES,,,,,,
1978 (51st),Music (Scoring),Pretty Baby,Jerry Wexler,NO,,,,,,
1978 (51st),Music (Scoring),The Wiz,Quincy Jones,NO,,,,,,
1978 (51st),Music (Scoring),The Boys from Brazil,Jerry Goldsmith,NO,,,,,,
1978 (51st),Music (Scoring),Days of Heaven,Ennio Morricone,NO,,,,,,
1978 (51st),Music (Scoring),Heaven Can Wait,Dave Grusin,NO,,,,,,
1978 (51st),Music (Scoring),Midnight Express,Giorgio Moroder,YES,,,,,,
1978 (51st),Music (Scoring),Superman,John Williams,NO,,,,,,
1978 (51st),Music (Song),Grease,Music and Lyrics by John Farrar,NO,,,,,,
1978 (51st),Music (Song),Thank God It's Friday,Music and Lyrics by Paul Jabara,YES,,,,,,
1978 (51st),Music (Song),"Same Time, Next Year",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,NO,,,,,,
1978 (51st),Music (Song),Foul Play,Music by Charles Fox; Lyrics by Norman Gimbel,NO,,,,,,
1978 (51st),Music (Song),The Magic of Lassie,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,NO,,,,,,
1978 (51st),Best Picture,Coming Home,"Jerome Hellman, Producer",NO,,,,,,
1978 (51st),Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",YES,,,,,,
1978 (51st),Best Picture,Heaven Can Wait,"Warren Beatty, Producer",NO,,,,,,
1978 (51st),Best Picture,Midnight Express,"Alan Marshall and David Puttnam, Producers",NO,,,,,,
1978 (51st),Best Picture,An Unmarried Woman,"Paul Mazursky and Tony Ray, Producers",NO,,,,,,
1978 (51st),Short Film (Animated),Oh My Darling,"Nico Crama, Producer",NO,,,,,,
1978 (51st),Short Film (Animated),Rip Van Winkle,"Will Vinton, Producer",NO,,,,,,
1978 (51st),Short Film (Animated),Special Delivery,"Eunice Macaulay and John Weldon, Producers",YES,,,,,,
1978 (51st),Short Film (Live Action),A Different Approach,"Jim Belcher and Fern Field, Producers",NO,,,,,,
1978 (51st),Short Film (Live Action),Mandy's Grandmother,"Andrew Sugerman, Producer",NO,,,,,,
1978 (51st),Short Film (Live Action),Strange Fruit,"Seth Pinsker, Producer",NO,,,,,,
1978 (51st),Short Film (Live Action),Teenage Father,"Taylor Hackford, Producer",YES,,,,,,
1978 (51st),Sound,The Buddy Holly Story,"Tex Rudloff, Joel Fein, Curly Thirlwell, Willie Burton",NO,,,,,,
1978 (51st),Sound,Days of Heaven,"John K. Wilkinson, Robert W. Glass, Jr., John T. Reitz, Barry Thomas",NO,,,,,,
1978 (51st),Sound,The Deer Hunter,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",YES,,,,,,
1978 (51st),Sound,Hooper,"Robert Knudson, Robert J. Glass, Don MacDougall, Jack Solomon",NO,,,,,,
1978 (51st),Sound,Superman,"Gordon K. McCallum, Graham Hartstone, Nicolas Le Messurier, Roy Charman",NO,,,,,,
1978 (51st),Visual Effects,Superman,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",YES,,,,,,
1978 (51st),Writing,Bloodbrothers,Walter Newman,NO,,,,,,
1978 (51st),Writing,California Suite,Neil Simon,NO,,,,,,
1978 (51st),Writing,Heaven Can Wait,"Elaine May, Warren Beatty",NO,,,,,,
1978 (51st),Writing,Midnight Express,Oliver Stone,YES,,,,,,
1978 (51st),Writing,"Same Time, Next Year",Bernard Slade,NO,,,,,,
1978 (51st),Writing,Autumn Sonata,Ingmar Bergman,NO,,,,,,
1978 (51st),Writing,Coming Home,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones",YES,,,,,,
1978 (51st),Writing,The Deer Hunter,"Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker; Screenplay by Deric Washburn",NO,,,,,,
1978 (51st),Writing,Interiors,Woody Allen,NO,,,,,,
1978 (51st),Writing,An Unmarried Woman,Paul Mazursky,NO,,,,,,
1978 (51st),Special Achievement Award,Superman,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",YES,,,,,,
1978 (51st),Honorary Award,To Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,,YES,,,,,,
1978 (51st),Honorary Award,To The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form.,,YES,,,,,,
1978 (51st),Honorary Award,"To Laurence Olivier for the full body of his work, for the unique achievements of his entire career and his lifetime of contribution to the art of film.",,YES,,,,,,
1978 (51st),Honorary Award,To King Vidor for his incomparable achievements as a cinematic creator and innovator.,,YES,,,,,,
1978 (51st),Jean Hersholt Humanitarian Award,Leo Jaffe,,YES,,,,,,
1978 (51st),Scientific and Technical (Academy Award of Merit),To EASTMAN KODAK COMPANY for the research and development of a Duplicating Color film for Motion Pictures. [Film],,YES,,,,,,
1978 (51st),Scientific and Technical (Academy Award of Merit),"To STEFAN KUDELSKI of Nagra Magnetic Recorders, Incorporated, for the continuing research, design and development of the Nagra Production Sound Recorder for Motion Pictures. [Sound]",,YES,,,,,,
1978 (51st),Scientific and Technical (Academy Award of Merit),"To PANAVISION, INCORPORATED, and its engineering staff under the direction of ROBERT E. GOTTSCHALK, for the concept, design and continuous development of the Panaflex Motion Picture Camera System. [Camera]",,YES,,,,,,
1978 (51st),Scientific and Technical (Scientific and Engineering Award),"To RAY M. DOLBY, IOAN R. ALLEN, DAVID P. ROBINSON, STEPHEN M. KATZ and PHILIP S. J. BOOLE of Dolby Laboratories, Incorporated, for the development and implementation of an improved Sound Recording and Reproducing System for Motion Picture Production and Exhibition. [Sound]",,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),To KARL MACHER and GLENN M. BERGGREN of Isco Optische Werke for the development and introduction of the Cinelux-ULTRA Lens for 35mm Motion Picture Projection. [Lenses and Filters],,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),"To DAVID J. DEGENKOLB, ARTHUR L. FORD and FRED J. SCOBEY of DeLuxe General, Incorporated, for the development of a Method to Recycle Motion Picture Laboratory Photographic Wash Waters by Ion Exchange. [Laboratory]",,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),To KIICHI SEKIGUCHI of CINE-FI International for the development of the CINE-FI Auto Radio Sound System for Drive-In Theaters. [Systems],,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),"To LEONARD CHAPMAN of Leonard Equipment Company, for the design and manufacture of a small, mobile, motion picture camera platform known as the Chapman Hustler Dolly. [Camera Cranes]",,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),"To JAMES L. FISHER of J.L. Fisher, Incorporated, for the design and manufacture of a small, mobile, motion picture camera platform known as the Fisher Model Ten Dolly. [Camera Cranes]",,YES,,,,,,
1978 (51st),Scientific and Technical (Technical Achievement Award),"To ROBERT STINDT of Production Grip Equipment Company, for the design and manufacture of a small, mobile, motion picture camera platform known as the Stindt Dolly. [Camera Cranes]",,YES,,,,,,
1978 (51st),Scientific and Technical (Bonner Medal),To Linwood G. Dunn in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1978 (51st),Scientific and Technical (Bonner Medal),To Loren L. Ryder in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1978 (51st),Scientific and Technical (Bonner Medal),To Waldon O. Watson in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
1977 (50th),Actor -- Leading Role,Woody Allen,Annie Hall {'Alvy Singer'},NO,,,,,,
1977 (50th),Actor -- Leading Role,Richard Burton,Equus {'Dr. Martin Dysart'},NO,,,,,,
1977 (50th),Actor -- Leading Role,Richard Dreyfuss,The Goodbye Girl {'Elliot Garfield'},YES,,,,,,
1977 (50th),Actor -- Leading Role,Marcello Mastroianni,A Special Day {'Gabriele'},NO,,,,,,
1977 (50th),Actor -- Leading Role,John Travolta,Saturday Night Fever {'Tony Manero'},NO,,,,,,
1977 (50th),Actor -- Supporting Role,Mikhail Baryshnikov,The Turning Point {'Yuri Kopeikine'},NO,,,,,,
1977 (50th),Actor -- Supporting Role,Peter Firth,Equus {'Alan Strang'},NO,,,,,,
1977 (50th),Actor -- Supporting Role,Alec Guinness,Star Wars {'Ben 'Obi-Wan' Kenobi'},NO,,,,,,
1977 (50th),Actor -- Supporting Role,Jason Robards,Julia {'Dashiell Hammett'},YES,,,,,,
1977 (50th),Actor -- Supporting Role,Maximilian Schell,Julia {'Johann'},NO,,,,,,
1977 (50th),Actress -- Leading Role,Anne Bancroft,The Turning Point {'Emma Jacklin'},NO,,,,,,
1977 (50th),Actress -- Leading Role,Jane Fonda,Julia {'Lillian Hellman'},NO,,,,,,
1977 (50th),Actress -- Leading Role,Diane Keaton,Annie Hall {'Annie Hall'},YES,,,,,,
1977 (50th),Actress -- Leading Role,Shirley MacLaine,The Turning Point {'Deedee Rodgers'},NO,,,,,,
1977 (50th),Actress -- Leading Role,Marsha Mason,The Goodbye Girl {'Paula McFadden'},NO,,,,,,
1977 (50th),Actress -- Supporting Role,Leslie Browne,The Turning Point {'Emilia Rodgers'},NO,,,,,,
1977 (50th),Actress -- Supporting Role,Quinn Cummings,The Goodbye Girl {'Lucy McFadden'},NO,,,,,,
1977 (50th),Actress -- Supporting Role,Melinda Dillon,Close Encounters of the Third Kind {'Jillian Guiler'},NO,,,,,,
1977 (50th),Actress -- Supporting Role,Vanessa Redgrave,Julia {'Julia'},YES,,,,,,
1977 (50th),Actress -- Supporting Role,Tuesday Weld,Looking for Mr. Goodbar {'Katherine Dunn'},NO,,,,,,
1977 (50th),Art Direction,Airport '77,Art Direction: George C. Webb; Set Decoration: Mickey S. Michaels,NO,,,,,,
1977 (50th),Art Direction,Close Encounters of the Third Kind,"Art Direction: Joe Alves, Dan Lomino; Set Decoration: Phil Abramson",NO,,,,,,
1977 (50th),Art Direction,The Spy Who Loved Me,"Art Direction: Ken Adam, Peter Lamont; Set Decoration: Hugh Scaife",NO,,,,,,
1977 (50th),Art Direction,Star Wars,"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian",YES,,,,,,
1977 (50th),Art Direction,The Turning Point,Art Direction: Albert Brenner; Set Decoration: Marvin March,NO,,,,,,
1977 (50th),Cinematography,Close Encounters of the Third Kind,Vilmos Zsigmond,YES,,,,,,
1977 (50th),Cinematography,Islands in the Stream,Fred J. Koenekamp,NO,,,,,,
1977 (50th),Cinematography,Julia,Douglas Slocombe,NO,,,,,,
1977 (50th),Cinematography,Looking for Mr. Goodbar,William A. Fraker,NO,,,,,,
1977 (50th),Cinematography,The Turning Point,Robert Surtees,NO,,,,,,
1977 (50th),Costume Design,Airport '77,"Edith Head, Burton Miller",NO,,,,,,
1977 (50th),Costume Design,Julia,Anthea Sylbert,NO,,,,,,
1977 (50th),Costume Design,A Little Night Music,Florence Klotz,NO,,,,,,
1977 (50th),Costume Design,The Other Side of Midnight,Irene Sharaff,NO,,,,,,
1977 (50th),Costume Design,Star Wars,John Mollo,YES,,,,,,
1977 (50th),Directing,Annie Hall,Woody Allen,YES,,,,,,
1977 (50th),Directing,Close Encounters of the Third Kind,Steven Spielberg,NO,,,,,,
1977 (50th),Directing,Julia,Fred Zinnemann,NO,,,,,,
1977 (50th),Directing,Star Wars,George Lucas,NO,,,,,,
1977 (50th),Directing,The Turning Point,Herbert Ross,NO,,,,,,
1977 (50th),Documentary (Feature),The Children of Theatre Street,"Robert Dornhelm and Earle Mack, Producers",NO,,,,,,
1977 (50th),Documentary (Feature),High Grass Circus,"Bill Brind, Torben Schioler and Tony Ianzelo, Producers",NO,,,,,,
1977 (50th),Documentary (Feature),Homage to Chagall--The Colours of Love,"Harry Rasky, Producer",NO,,,,,,
1977 (50th),Documentary (Feature),Union Maids,"James Klein, Julia Reichert and Miles Mogulescu, Producers",NO,,,,,,
1977 (50th),Documentary (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers",YES,,,,,,
1977 (50th),Documentary (Short Subject),"Agueda Martinez: Our People, Our Country","Moctesuma Esparza, Producer",NO,,,,,,
1977 (50th),Documentary (Short Subject),First Edition,"Helen Whitney and DeWitt L. Sage, Jr., Producers",NO,,,,,,
1977 (50th),Documentary (Short Subject),Gravity Is My Enemy,"John Joseph and Jan Stussy, Producers",YES,,,,,,
1977 (50th),Documentary (Short Subject),"Of Time, Tombs and Treasure","James R. Messenger and Paul N. Raimondi, Producers",NO,,,,,,
1977 (50th),Documentary (Short Subject),The Shetland Experience,"Douglas Gordon, Producer",NO,,,,,,
1977 (50th),Film Editing,Close Encounters of the Third Kind,Michael Kahn,NO,,,,,,
1977 (50th),Film Editing,Julia,Walter Murch,NO,,,,,,
1977 (50th),Film Editing,Smokey and the Bandit,"Walter Hannemann, Angelo Ross",NO,,,,,,
1977 (50th),Film Editing,Star Wars,"Paul Hirsch, Marcia Lucas, Richard Chew",YES,,,,,,
1977 (50th),Film Editing,The Turning Point,William Reynolds,NO,,,,,,
1977 (50th),Foreign Language Film,Iphigenia,Greece,NO,,,,,,
1977 (50th),Foreign Language Film,Madame Rosa,France,YES,,,,,,
1977 (50th),Foreign Language Film,Operation Thunderbolt,Israel,NO,,,,,,
1977 (50th),Foreign Language Film,A Special Day,Italy,NO,,,,,,
1977 (50th),Foreign Language Film,That Obscure Object of Desire,Spain,NO,,,,,,
1977 (50th),Music (Scoring),Close Encounters of the Third Kind,John Williams,NO,,,,,,
1977 (50th),Music (Scoring),Julia,Georges Delerue,NO,,,,,,
1977 (50th),Music (Scoring),Mohammad - Messenger of God,Maurice Jarre,NO,,,,,,
1977 (50th),Music (Scoring),The Spy Who Loved Me,Marvin Hamlisch,NO,,,,,,
1977 (50th),Music (Scoring),Star Wars,John Williams,YES,,,,,,
1977 (50th),Music (Scoring),A Little Night Music,Adaptation Score by Jonathan Tunick,YES,,,,,,
1977 (50th),Music (Scoring),Pete's Dragon,Song Score by Al Kasha and Joel Hirschhorn; Adaptation Score by Irwin Kostal,NO,,,,,,
1977 (50th),Music (Scoring),The Slipper and the Rose--The Story of Cinderella,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley,NO,,,,,,
1977 (50th),Music (Song),Pete's Dragon,Music and Lyrics by Al Kasha and Joel Hirschhorn,NO,,,,,,
1977 (50th),Music (Song),The Spy Who Loved Me,Music by Marvin Hamlisch; Lyrics by Carole Bayer Sager,NO,,,,,,
1977 (50th),Music (Song),The Slipper and the Rose--The Story of Cinderella,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,NO,,,,,,
1977 (50th),Music (Song),The Rescuers,Music by Sammy Fain; Lyrics by Carol Connors and Ayn Robbins,NO,,,,,,
1977 (50th),Music (Song),You Light Up My Life,Music and Lyrics by Joseph Brooks,YES,,,,,,
1977 (50th),Best Picture,Annie Hall,"Charles H. Joffe, Producer",YES,,,,,,
1977 (50th),Best Picture,The Goodbye Girl,"Ray Stark, Producer",NO,,,,,,
1977 (50th),Best Picture,Julia,"Richard Roth, Producer",NO,,,,,,
1977 (50th),Best Picture,Star Wars,"Gary Kurtz, Producer",NO,,,,,,
